Date,Low,Open,Volume,High,Close,Adjusted Close,Stock_Return,Unnamed: 0,GDP,GDP Growth,CPI,Core CPI,PPI,Unemployment Rate,Labor Force Participation Rate,Fed Funds Rate,10Y Treasury Yield,Money Supply (M2),Consumer Confidence,Housing Starts,Home Price Index,S&P 500 Index,VIX (Volatility Index),Corporate Bond Yield,Oil Prices (WTI),Trade Balance,USD Index,Market_Return,Beta,Treynor_Ratio
24-05-2022,0.0560000017285347,0.0570000000298023,20140000.0,0.0590000003576278,0.0579999983310699,0.0579999983310699,0.0,5919,22005.164703296705,1.697802197802198,294.0983225806452,293.50061290322583,278.44454838709675,3.6,62.2258064516129,1.0964516129032258,2.76,21654.73225806452,52.16774193548387,1541.483870967742,303.84967741935486,3941.48,29.45,2.34,112.55,-81999.51612903226,90.8221,-0.008120792702107527,0.0,-9.473928401387886
25-05-2022,0.0560000017285347,0.0570000000298023,20140000.0,0.0590000003576278,0.0579999983310699,0.0579999983310699,0.0,5920,22006.786263736263,1.7241758241758245,294.2200322580645,293.5641612903226,278.67035483870967,3.6,62.222580645161294,1.1106451612903223,2.75,21653.203225806454,51.89677419354839,1541.548387096774,303.8729677419355,3978.73,28.37,2.29,112.88,-81901.45161290323,90.8221,0.009450764687376267,0.0,-9.473928401387886
26-05-2022,0.0560000017285347,0.0570000000298023,20140000.0,0.0590000003576278,0.0579999983310699,0.0579999983310699,0.0,5921,22008.407824175825,1.7505494505494508,294.34174193548387,293.6277096774194,278.89616129032254,3.6,62.21935483870968,1.1248387096774193,2.75,21651.674193548388,51.6258064516129,1541.6129032258063,303.89625806451613,4057.84,27.5,2.25,116.19,-81803.3870967742,90.8221,0.01988322907058282,0.0,-9.473928401387886
27-05-2022,0.0560000017285347,0.0570000000298023,20140000.0,0.0590000003576278,0.0579999983310699,0.0579999983310699,0.0,5922,22010.029384615384,1.7769230769230773,294.4634516129032,293.69125806451615,279.12196774193546,3.6,62.21612903225807,1.1390322580645162,2.74,21650.14516129032,51.354838709677416,1541.6774193548388,303.9195483870968,4158.24,25.72,2.26,114.96,-81705.32258064517,90.8221,0.024742227391912897,0.0,-9.473928401387886
31-05-2022,0.0560000017285347,0.0570000000298023,20140000.0,0.0590000003576278,0.0579999983310699,0.0579999983310699,0.0,5924,22016.515626373628,1.8824175824175824,294.95029032258066,293.94545161290324,280.02519354838705,3.6,62.20322580645161,1.1958064516129032,2.85,21644.029032258062,50.270967741935486,1541.9354838709678,304.01270967741937,4132.15,26.19,2.18,114.38,-81313.06451612903,90.8221,-0.001575988435905451,0.0,-9.473928401387886
01-06-2022,0.0560000017285347,0.0570000000298023,20140000.0,0.0590000003576278,0.0579999983310699,0.0579999983310699,0.0,5925,22018.137186813183,1.908791208791209,295.072,294.009,280.251,3.6,62.2,1.21,2.94,21642.5,50.0,1542.0,304.036,4101.23,25.69,2.08,115.26,-81215.0,90.8221,-0.007482787410912017,0.0,-9.473928401387886
02-06-2022,0.0560000017285347,0.0570000000298023,20140000.0,0.0590000003576278,0.0579999983310699,0.0579999983310699,0.0,5926,22019.75874725275,1.935164835164836,295.0676,294.04470000000003,279.9851,3.5966666666666667,62.19666666666667,1.225666666666667,2.92,21642.476666666666,50.05,1537.0,304.00516666666664,4176.82,24.72,2.1,116.88,-80875.83333333333,90.8221,0.018431056049039052,0.0,-9.473928401387886
03-06-2022,0.0560000017285347,0.0570000000298023,20140000.0,0.0590000003576278,0.0579999983310699,0.0579999983310699,0.0,5927,22021.380307692307,1.961538461538462,295.0632,294.0804,279.7192,3.5933333333333333,62.193333333333335,1.2413333333333334,2.96,21642.45333333333,50.1,1532.0,303.97433333333333,4108.54,24.79,2.09,118.97,-80536.66666666667,90.8221,-0.016347364741597592,0.0,-9.473928401387886
06-06-2022,0.0560000017285347,0.0570000000298023,20140000.0,0.0590000003576278,0.0579999983310699,0.0579999983310699,0.0,5928,22026.24498901099,2.040659340659341,295.05,294.1875,278.9215,3.583333333333333,62.18333333333334,1.288333333333333,3.04,21642.38333333333,50.25,1517.0,303.88183333333336,4121.43,25.07,2.08,118.41,-79519.16666666667,90.8221,0.0031373675320187644,0.0,-9.473928401387886
07-06-2022,0.0560000017285347,0.0570000000298023,20140000.0,0.0590000003576278,0.0579999983310699,0.0579999983310699,0.0,5929,22027.86654945055,2.0670329670329672,295.0456,294.2232,278.6556,3.58,62.18,1.304,2.98,21642.36,50.3,1512.0,303.851,4160.68,24.02,2.07,119.55,-79180.0,90.8221,0.009523393579413009,0.0,-9.473928401387886
